0.9936 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.2297 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
13.2299 	EXP 	New trial (rep=0, index=0): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
13.2663 	EXP 	text: height = 0.05000000000000001
13.2663 	EXP 	text: height = 0.05000000000000001
13.2663 	EXP 	text: height = 0.05000000000000001
13.2663 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
13.2663 	EXP 	fixation: autoDraw = True
14.2259 	EXP 	text: autoDraw = True
14.2759 	EXP 	fixation: autoDraw = False
16.6440 	EXP 	New trial (rep=0, index=1): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
16.6505 	DATA 	Keypress: t
16.6594 	EXP 	fixation: autoDraw = False
16.6594 	EXP 	text: autoDraw = False
16.6594 	EXP 	text: height = 0.05000000000000001
16.6594 	EXP 	text: height = 0.05000000000000001
16.6594 	EXP 	text: height = 0.05000000000000001
16.6594 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
16.6594 	EXP 	fixation: autoDraw = True
17.6429 	EXP 	text: autoDraw = True
17.6596 	EXP 	fixation: autoDraw = False
22.3445 	EXP 	New trial (rep=0, index=2): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
22.3500 	DATA 	Keypress: t
22.3601 	EXP 	fixation: autoDraw = False
22.3601 	EXP 	text: autoDraw = False
22.3601 	EXP 	text: height = 0.05000000000000001
22.3601 	EXP 	text: height = 0.05000000000000001
22.3601 	EXP 	text: height = 0.05000000000000001
22.3601 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
22.3601 	EXP 	fixation: autoDraw = True
23.3435 	EXP 	text: autoDraw = True
23.3601 	EXP 	fixation: autoDraw = False
27.8618 	EXP 	New trial (rep=0, index=3): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
27.8660 	DATA 	Keypress: l
27.8775 	EXP 	fixation: autoDraw = False
27.8775 	EXP 	text: autoDraw = False
27.8775 	EXP 	text: height = 0.05000000000000001
27.8775 	EXP 	text: height = 0.05000000000000001
27.8775 	EXP 	text: height = 0.05000000000000001
27.8775 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
27.8775 	EXP 	fixation: autoDraw = True
28.8608 	EXP 	text: autoDraw = True
28.8774 	EXP 	fixation: autoDraw = False
32.2169 	DATA 	Keypress: t
32.2317 	EXP 	New trial (rep=0, index=4): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
32.2576 	EXP 	fixation: autoDraw = False
32.2576 	EXP 	text: autoDraw = False
32.2576 	EXP 	text: height = 0.05000000000000001
32.2576 	EXP 	text: height = 0.05000000000000001
32.2576 	EXP 	text: height = 0.05000000000000001
32.2576 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
32.2576 	EXP 	fixation: autoDraw = True
33.2449 	EXP 	text: autoDraw = True
33.2613 	EXP 	fixation: autoDraw = False
35.1965 	EXP 	New trial (rep=0, index=5): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
35.2033 	DATA 	Keypress: l
35.2115 	EXP 	fixation: autoDraw = False
35.2115 	EXP 	text: autoDraw = False
35.2115 	EXP 	text: height = 0.05000000000000001
35.2115 	EXP 	text: height = 0.05000000000000001
35.2115 	EXP 	text: height = 0.05000000000000001
35.2115 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
35.2115 	EXP 	fixation: autoDraw = True
36.2119 	EXP 	fixation: autoDraw = False
36.2119 	EXP 	text: autoDraw = True
39.0129 	EXP 	New trial (rep=0, index=6): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
39.0172 	DATA 	Keypress: t
39.0285 	EXP 	fixation: autoDraw = False
39.0285 	EXP 	text: autoDraw = False
39.0285 	EXP 	text: height = 0.05000000000000001
39.0285 	EXP 	text: height = 0.05000000000000001
39.0285 	EXP 	text: height = 0.05000000000000001
39.0285 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
39.0285 	EXP 	fixation: autoDraw = True
40.0120 	EXP 	text: autoDraw = True
40.0286 	EXP 	fixation: autoDraw = False
42.4667 	DATA 	Keypress: l
42.4794 	EXP 	fixation: autoDraw = False
42.4794 	EXP 	text: autoDraw = False
42.6062 	EXP 	window1: mouseVisible = True
